block,cost,SHA_COMPRESS,SHA_EXTEND,KECCAK_PERMUTE,POSEIDON2_PERMUTE,ED_ADD,ED_DECOMPRESS,SECP256K1_ADD,SECP256K1_DOUBLE,SECP256K1_DECOMPRESS,SECP256R1_ADD,SECP256R1_DOUBLE,SECP256R1_DECOMPRESS,BN254_ADD,BN254_DOUBLE,BLS12381_ADD,BLS12381_DOUBLE,BLS12381_DECOMPRESS,BN254_FP_ADD,BN254_FP_SUB,BN254_FP_MUL,BN254_FP2_ADD,BN254_FP2_SUB,BN254_FP2_MUL,BLS12381_FP_ADD,BLS12381_FP_SUB,BLS12381_FP_MUL,BLS12381_FP2_ADD,BLS12381_FP2_SUB,BLS12381_FP2_MUL,SECP256K1_FP_ADD,SECP256K1_FP_SUB,SECP256K1_FP_MUL,UINT256_MUL
24000347,58294678422064505,25,25,137969,0,0,0,68945,138752,0,0,0,0,0,0,0,0,0,130951,0,0,40202,0,47844,0,0,0,0,0,0,0,0,0,7
24000348,26483744893263362,34,34,64631,0,0,0,53848,108032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000349,46044554153142097,29,29,118077,0,0,0,55870,112640,0,0,0,0,0,0,0,0,0,82699,0,0,22624,0,29805,0,0,0,0,0,0,0,0,0,5
24000350,13473309312950806,32,32,49803,0,0,0,32562,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000351,21701749426867933,14,14,71551,0,0,0,155843,312320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000352,39711904682223464,34,34,97633,0,0,0,53569,107008,0,0,0,0,0,0,0,0,0,82857,0,0,22624,0,29805,0,0,0,0,0,0,0,0,0,5
24000353,11226533116515364,20,20,37509,0,0,0,37238,74752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000354,22967508497680255,20,20,80040,0,0,0,62153,124928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000355,23597267179680597,14,14,80194,0,0,0,58969,118784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000356,19037581684568638,18,18,67544,0,0,0,46164,92672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000357,20192062496239420,14,14,70010,0,0,0,41043,82432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000358,20863495819428442,23,23,75755,0,0,0,50090,100352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000359,80369800154851749,14,14,101310,0,0,0,12929,26112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000360,16820244933888288,14,14,60124,0,0,0,63643,128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000361,80212610126410861,14,14,104488,0,0,0,22478,45056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000362,80809733310516594,18,18,103718,0,0,0,22358,44544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000363,34809170197077033,14,14,81014,0,0,0,73209,146944,0,0,0,0,0,0,0,0,0,100057,0,0,22624,0,29805,0,0,0,0,0,0,0,0,0,5
24000364,37681800129820093,31,31,97509,0,0,0,43481,87040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000365,79357925722065391,19,19,119689,0,0,0,49328,99328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000366,80047173769489905,14,14,104547,0,0,0,27992,56320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000367,13078666266634332,14,14,47339,0,0,0,50264,101376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000368,80410425858633944,14,14,105869,0,0,0,31453,63488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000369,26988647514980023,14,14,68127,0,0,0,48917,98304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000370,36086873184454558,23,23,98008,0,0,0,61484,123904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000371,22001573294885818,14,14,50033,0,0,0,29533,59392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000372,23898089381101084,14,14,59564,0,0,0,51669,103424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000373,29643913144325061,20,20,79166,0,0,0,53410,107520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000374,6089242721115552,14,14,23064,0,0,0,16492,33280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000375,32197596148094352,14,14,86968,0,0,0,61645,123392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000376,79656353640174027,14,14,100412,0,0,0,27738,55808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000377,45329686663468105,23,23,121624,0,0,0,72962,146432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000378,80103331066195452,14,14,105260,0,0,0,26179,52736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000379,31597916616755700,27,27,80344,0,0,0,59327,119296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000380,18747384892965173,14,14,72195,0,0,0,64001,128512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000381,34731872747599794,14,14,92304,0,0,0,72527,145408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000382,10407193908228076,14,14,40375,0,0,0,35315,70656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000383,16817059928298365,30,30,58461,0,0,0,57750,115200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000384,29491330182216061,23,23,80487,0,0,0,49466,99840,0,0,0,0,0,0,0,0,0,48840,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,2
24000385,19047426747397934,14,14,68495,0,0,0,59485,119808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000386,80096234064413136,14,14,102997,0,0,0,21729,43520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000387,16945442621015556,14,14,38580,0,0,0,24662,49664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
